851
4255	711	8
4431	2239	8
1964	2991	9
1006	827	9
3291	5689	9
2870	4449	8
141	685	9
4394	866	9
1427	2343	8
929	4357	9
757	1628	9
2463	5517	9
224	396	9
5279	5060	9
2950	4261	8
821	2895	8
1037	1122	9
4953	5220	8
5500	1469	8
3657	94	8
3867	4546	9
238	3044	9
4859	1985	9
1764	5402	9
243	2047	8
4880	559	8
287	1390	8
4204	3365	9
2298	2481	10
4201	3270	10
2904	3410	9
266	2389	9
1514	1545	8
3332	1242	8
3393	825	9
4396	3416	9
5329	4604	9
2036	3105	9
2083	3404	8
647	2428	8
2121	3409	8
3952	3313	9
5121	2872	8
427	3736	9
1828	377	9
1698	83	8
2369	882	9
344	3563	8
5659	2850	8
3498	3368	9
2037	1249	8
751	5429	8
1631	549	8
193	4640	8
3520	3988	8
4051	4276	8
1043	1957	9
4943	5163	9
3924	1583	8
4373	4756	8
1134	2942	8
2835	4320	8
4847	811	8
2488	406	8
4769	5066	8
1669	4553	9
15	3949	8
2137	3392	9
5293	3897	8
4330	3257	8
5539	1306	9
25	1564	8
5408	3137	9
5089	4161	8
1518	2413	9
579	3513	8
612	4253	8
1950	2593	9
718	1367	9
16	1804	8
5515	1727	8
2007	2743	9
1786	2611	8
4686	1124	8
2921	2687	8
708	1276	8
3436	1376	9
2500	4059	9
648	5185	9
3814	493	8
598	5348	9
4629	4	9
1471	1356	9
2113	5436	9
2088	5622	9
3221	1825	10
923	3240	9
5444	2892	9
4585	4660	8
2796	516	9
4106	2573	10
151	2998	8
3048	3720	9
2364	3092	8
293	3642	8
3581	3824	10
4132	4152	8
4692	2455	8
5068	3026	8
2141	4578	8
3089	486	8
4697	1809	8
3186	2609	8
1227	3887	8
1374	1196	9
5103	4284	8
1129	3921	9
1736	302	8
1751	1813	9
905	5063	10
5659	2928	10
5557	3759	9
1352	114	9
2947	3450	8
5477	3381	8
1591	3151	8
4281	1667	8
4943	3919	9
4785	4900	10
4250	2957	8
2775	3560	9
1859	332	9
957	2641	8
1174	4899	8
4574	5440	8
5101	2774	8
4693	3230	8
5010	725	8
4435	501	8
3417	2029	10
4699	4141	8
5494	1769	10
3996	720	9
4490	459	8
4999	379	8
3980	1375	9
1349	5312	9
5177	4565	9
932	3908	8
4786	5005	8
2741	5200	8
2171	665	8
1451	3251	8
5271	2889	10
557	2683	9
4656	1059	8
3204	3730	9
5191	4536	9
5700	1861	9
4876	2077	9
3757	3991	10
1511	3850	8
5271	802	8
5374	5128	9
1286	239	8
3276	5333	9
5050	5701	9
3023	4794	9
260	3099	8
3931	1823	9
1212	1321	8
42	37	9
509	2677	8
2546	3060	8
4588	3399	9
1004	5247	9
2927	5380	8
5362	1441	9
4375	4538	8
2210	2878	9
483	5255	8
5248	4473	8
4896	3621	9
1520	3751	9
532	244	9
2474	2965	9
702	996	9
837	636	9
2970	1036	8
4482	1145	9
4365	3440	9
3549	2809	8
364	1614	8
2873	3095	9
1974	5195	9
5343	3800	9
2985	5421	9
3711	2695	8
4926	1602	9
1138	1935	9
149	166	8
2542	1318	9
4896	5617	9
1014	495	9
1093	522	9
4335	1254	8
2117	1018	8
1979	3059	8
4204	744	10
3370	4934	8
4341	2813	9
4249	2570	9
2256	2922	9
623	2334	8
3413	4090	9
2900	2799	10
4130	4489	9
4023	553	8
2605	2847	8
1790	4235	8
4302	630	9
4983	4676	8
3944	2263	8
5596	2804	9
2704	2708	9
1245	2623	9
1687	2179	9
5427	1992	9
1169	543	9
4562	536	9
4865	1125	8
150	3299	8
3994	799	9
5146	3444	8
2945	1888	8
3808	177	8
3728	134	9
4027	3493	8
1250	11	9
3452	5051	8
5591	2572	8
3326	1504	9
1878	1091	9
1294	1567	8
3770	2639	8
4982	4845	9
1686	4844	8
349	2354	8
4272	4754	8
4962	4508	9
4346	3816	9
3891	5142	10
5694	4282	8
4435	4929	10
609	84	9
1475	1860	8
4309	5119	8
2057	617	9
5300	1891	8
4850	1000	8
5279	4351	10
2495	1060	9
4265	2534	9
1580	4193	9
5122	1586	8
710	4650	8
4621	1222	8
1912	53	8
5653	4293	9
4155	5614	8
3131	118	10
4104	5353	8
5686	4758	8
4551	4895	9
2567	776	8
893	639	8
333	2009	9
4186	3543	8
4375	2837	10
1723	2919	9
5547	3389	9
597	4246	10
3495	273	9
2691	525	8
3573	3843	9
3393	3460	10
4919	4573	8
3459	4344	8
5020	5683	9
2738	3929	9
4024	2272	9
1086	5342	9
2509	911	9
5157	2086	8
21	4505	8
1807	2225	8
2632	4618	9
3314	3183	8
3006	660	9
17	992	9
1869	2427	8
4840	249	8
1518	5648	8
3612	3541	8
